,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
145,Muévelo,"Nicky Jam",707773,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
146,STARGAZING,"Travis Scott",706421,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
147,"Money In The Grave (Drake ft. Rick Ross)",Drake,705867,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
148,Azul,"J Balvin",704298,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
149,"Old Town Road - Remix","Lil Nas X",703198,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
150,"Get You The Moon (feat. Snøw)",Kina,702370,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
151,"Sweet but Psycho","Ava Max",700884,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
152,Sucker,"Jonas Brothers",695948,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
153,Fantasias,"Rauw Alejandro",693512,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
154,"Desires (with Future)",Drake,692380,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq
155,Wow.,"Post Malone",689397,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
156,"Never Seen the Rain","Tones And I",685793,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
157,Boyfriend,"Selena Gomez",682691,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
158,"The Less I Know The Better","Tame Impala",681177,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
159,July,"Noah Cyrus",679651,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
160,"Be Alright","Dean Lewis",678121,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
161,Youngblood,"5 Seconds of Summer",677559,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
162,"Sigues Con El - Remix",Arcangel,673158,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
163,"A Tu Merced","Bad Bunny",672640,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
164,"Piece Of Your Heart",MEDUZA,670897,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
165,"Higher Love",Kygo,664958,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
166,Callaita,"Bad Bunny",660958,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
167,"All of Me","John Legend",660656,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
168,Keii,"Anuel AA",655169,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
169,"Let Me Down Slowly","Alec Benjamin",651634,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
170,"Eastside (with Halsey & Khalid)","benny blanco",649773,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
171,"I Like Me Better",Lauv,647128,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
172,"ocean eyes","Billie Eilish",647052,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
173,"thank u, next","Ariana Grande",644649,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
174,Moonlight,XXXTENTACION,641498,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
175,"Dancing With A Stranger (with Normani)","Sam Smith",641051,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
176,"Broke In A Minute","Tory Lanez",638423,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
177,"Better Now","Post Malone",638274,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
178,"FIND MY WAY",DaBaby,637863,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
179,"God's Plan",Drake,637273,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
180,"High Hopes","Panic! At The Disco",637264,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
181,"Por Primera Vez",Camilo,629077,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
182,Emotions,Ufo361,628389,https://open.spotify.com/track/6lU4BQWZomCWRfKSowfezE
183,"How Do You Sleep?","Sam Smith",625253,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
184,"No Time To Die","Billie Eilish",625042,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
185,Suicidal,"YNW Melly",623223,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
186,"Someone Like You",Adele,622989,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB
187,"Fantasias - Remix","Rauw Alejandro",621677,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
188,"El Efecto","Rauw Alejandro",621431,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
189,"If I Can't Have You","Shawn Mendes",621040,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
190,SUGAR,BROCKHAMPTON,620000,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
191,"Something Just Like This","The Chainsmokers",619697,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
192,"Can We Kiss Forever?",Kina,619658,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
193,"Don't Rush (feat. Headie One)","Young T & Bugsey",617648,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
194,"El Efecto - Remix","Rauw Alejandro",614016,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
195,Dior,"Pop Smoke",612041,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
196,Closer,"The Chainsmokers",608661,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
197,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",608164,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
198,"XO Tour Llif3","Lil Uzi Vert",607997,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
199,"Alone, Pt. II","Alan Walker",607361,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
200,"Lights Up","Harry Styles",603502,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
